,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
144,Dwight Howard,2007-08,22,ORL,NBA,12.9,82,82,3088,583,974,583,970,0,4,529,897,279,882,1161,110,74,176,263,274,1695,0.599,0.601,0,0.599,0.59,0.619
145,LeBron James,2016-17,32,CLE,NBA,12.9,74,74,2794,736,1344,612,1002,124,342,358,531,97,542,639,646,92,44,303,134,1954,0.548,0.611,0.363,0.594,0.674,0.619
146,Alonzo Mourning,1999-00,29,MIA,NBA,12.9,79,78,2748,652,1184,652,1180,0,4,414,582,215,538,753,123,40,294,217,308,1718,0.551,0.553,0,0.551,0.711,0.596
147,Dirk Nowitzki,2007-08,29,DAL,NBA,12.9,77,77,2769,630,1314,551,1094,79,220,478,544,95,564,659,266,51,71,160,198,1817,0.479,0.504,0.359,0.51,0.879,0.585
148,Gary Payton,1996-97,28,SEA,NBA,12.9,82,82,3213,706,1482,587,1102,119,380,254,355,106,272,378,583,197,13,215,208,1785,0.476,0.533,0.313,0.517,0.715,0.545
149,Paul Pierce,2001-02,24,BOS,NBA,12.9,82,82,3302,707,1598,497,1078,210,520,520,643,81,485,566,261,154,86,241,237,2144,0.442,0.461,0.404,0.508,0.809,0.57
150,Detlef Schrempf,1994-95,32,SEA,NBA,12.9,82,82,2886,521,997,428,816,93,181,437,521,135,373,508,310,93,35,176,252,1572,0.523,0.525,0.514,0.569,0.839,0.641
151,Clyde Drexler,1991-92,29,POR,NBA,12.8,76,76,2751,694,1476,580,1138,114,338,401,505,166,334,500,512,138,70,240,229,1903,0.47,0.51,0.337,0.509,0.794,0.56
152,Tim Duncan,1997-98,21,SAS,NBA,12.8,82,82,3204,706,1287,706,1277,0,10,319,482,274,703,977,224,55,206,279,254,1731,0.549,0.553,0,0.549,0.662,0.577
153,Kevin Garnett,2001-02,25,MIN,NBA,12.8,81,81,3175,659,1401,622,1285,37,116,359,448,243,738,981,422,96,126,229,184,1714,0.47,0.484,0.319,0.484,0.801,0.536
154,James Harden,2012-13,23,HOU,NBA,12.8,78,78,2985,585,1337,406,851,179,486,674,792,62,317,379,455,142,38,295,178,2023,0.438,0.477,0.368,0.504,0.851,0.6
155,James Harden,2013-14,24,HOU,NBA,12.8,73,73,2777,549,1205,372,722,177,483,576,665,61,283,344,446,115,29,265,177,1851,0.456,0.515,0.366,0.529,0.866,0.618
156,DeAndre Jordan,2014-15,26,LAC,NBA,12.8,82,82,2820,379,534,378,530,1,4,187,471,397,829,1226,61,81,183,109,245,946,0.71,0.713,0.25,0.711,0.397,0.638
157,Dwyane Wade,2010-11,29,MIA,NBA,12.8,76,76,2823,692,1384,629,1178,63,206,494,652,123,362,485,346,111,87,237,197,1941,0.5,0.534,0.306,0.523,0.758,0.581
158,Kobe Bryant,2008-09,30,LAL,NBA,12.7,82,82,2960,800,1712,682,1376,118,336,483,564,90,339,429,399,120,37,210,189,2201,0.467,0.496,0.351,0.502,0.856,0.561
159,Kobe Bryant,2001-02,23,LAL,NBA,12.7,80,80,3063,749,1597,716,1465,33,132,488,589,112,329,441,438,118,35,223,228,2019,0.469,0.489,0.25,0.479,0.829,0.544
160,Kevin Johnson,1990-91,24,PHO,NBA,12.7,77,76,2772,591,1145,582,1101,9,44,519,616,54,217,271,781,163,11,269,174,1710,0.516,0.529,0.205,0.52,0.843,0.604
161,Magic Johnson,1984-85,25,LAL,NBA,12.7,77,77,2781,504,899,497,862,7,37,391,464,90,386,476,968,113,25,305,155,1406,0.561,0.577,0.189,0.565,0.843,0.637
162,Chris Paul,2011-12,26,LAC,NBA,12.7,60,60,2181,425,890,346,677,79,213,260,302,42,171,213,543,152,4,124,138,1189,0.478,0.511,0.371,0.522,0.861,0.581
163,Chris Paul,2015-16,30,LAC,NBA,12.7,74,74,2420,515,1114,393,785,122,329,294,328,39,271,310,738,152,13,194,185,1446,0.462,0.501,0.371,0.517,0.896,0.575
164,Scottie Pippen,1991-92,26,CHI,NBA,12.7,82,82,3164,687,1359,671,1279,16,80,330,434,185,445,630,572,155,93,253,242,1720,0.506,0.525,0.2,0.511,0.76,0.555
165,David Robinson,1999-00,34,SAS,NBA,12.7,80,80,2557,528,1031,528,1029,0,2,371,511,193,577,770,142,97,183,164,247,1427,0.512,0.513,0,0.512,0.726,0.568
166,Stephen Curry,2016-17,28,GSW,NBA,12.6,79,79,2638,675,1443,351,654,324,789,325,362,61,292,353,524,142,17,239,183,1999,0.468,0.537,0.411,0.58,0.898,0.624
167,Steve Nash,2006-07,32,PHO,NBA,12.6,76,76,2682,517,971,361,628,156,343,222,247,30,239,269,884,57,6,287,117,1412,0.532,0.575,0.455,0.613,0.899,0.654
168,Gary Payton,2001-02,33,SEA,NBA,12.6,82,82,3301,737,1578,663,1342,74,236,267,335,80,316,396,737,131,26,209,179,1815,0.467,0.494,0.314,0.49,0.797,0.526
169,Dennis Rodman,1991-92,30,DET,NBA,12.6,82,80,3301,342,635,310,534,32,101,84,140,523,1007,1530,191,68,70,140,248,800,0.539,0.581,0.317,0.564,0.6,0.574
170,Shawn Marion,2004-05,26,PHO,NBA,12.5,81,81,3146,613,1289,499,948,114,341,229,275,235,680,915,154,163,119,125,199,1569,0.476,0.526,0.334,0.52,0.833,0.556
171,Gary Payton,1997-98,29,SEA,NBA,12.5,82,82,3145,579,1278,445,881,134,397,279,375,77,299,376,679,185,18,229,195,1571,0.453,0.505,0.338,0.505,0.744,0.544
172,Isaiah Thomas,2016-17,27,BOS,NBA,12.5,76,76,2569,682,1473,437,827,245,646,590,649,43,162,205,448,70,13,210,167,2199,0.463,0.528,0.379,0.546,0.909,0.625
173,Giannis Antetokounmpo,2016-17,22,MIL,NBA,12.4,80,80,2845,656,1259,607,1079,49,180,471,612,142,558,700,434,131,151,234,246,1832,0.521,0.563,0.272,0.541,0.77,0.599
174,Clyde Drexler,1990-91,28,POR,NBA,12.4,82,82,2852,645,1338,584,1147,61,191,416,524,212,334,546,493,144,60,232,226,1767,0.482,0.509,0.319,0.505,0.794,0.563
175,Steve Nash,2005-06,31,PHO,NBA,12.4,79,79,2796,541,1056,391,714,150,342,257,279,47,286,333,826,61,12,276,120,1489,0.512,0.548,0.439,0.583,0.921,0.632
176,Hakeem Olajuwon,1988-89,26,HOU,NBA,12.4,82,82,3024,790,1556,790,1546,0,10,454,652,338,767,1105,149,213,282,275,329,2034,0.508,0.511,0,0.508,0.696,0.552
177,Paul Pierce,2007-08,30,BOS,NBA,12.4,80,80,2874,509,1098,366,733,143,365,409,485,53,358,411,363,101,36,221,200,1570,0.464,0.499,0.392,0.529,0.843,0.599
178,Charles Barkley,1991-92,28,PHI,NBA,12.3,75,75,2881,622,1126,590,989,32,137,454,653,271,559,830,308,136,44,235,196,1730,0.552,0.597,0.234,0.567,0.695,0.612
179,Dirk Nowitzki,2009-10,31,DAL,NBA,12.3,81,80,3039,720,1496,669,1375,51,121,536,586,80,540,620,218,70,79,149,208,2027,0.481,0.487,0.421,0.498,0.915,0.578
180,Scottie Pippen,1995-96,30,CHI,NBA,12.3,77,77,2825,563,1216,413,815,150,401,220,324,152,344,496,452,133,57,207,198,1496,0.463,0.507,0.374,0.525,0.679,0.551
181,Kevin Durant,2011-12,23,OKC,NBA,12.2,66,66,2546,643,1297,510,953,133,344,431,501,40,487,527,231,88,77,248,133,1850,0.496,0.535,0.387,0.547,0.86,0.61
182,Blake Griffin,2013-14,24,LAC,NBA,12.2,80,80,2863,718,1359,706,1315,12,44,482,674,192,565,757,309,92,51,224,265,1930,0.528,0.537,0.273,0.533,0.715,0.583
183,Kevin Johnson,1988-89,22,PHO,NBA,12.2,81,81,3179,570,1128,568,1106,2,22,508,576,46,294,340,991,135,24,322,226,1650,0.505,0.514,0.091,0.506,0.882,0.597
184,Tracy McGrady,2000-01,21,ORL,NBA,12.2,77,77,3087,788,1724,729,1558,59,166,430,587,192,388,580,352,116,118,198,160,2065,0.457,0.468,0.355,0.474,0.733,0.521
185,Chris Mullin,1990-91,27,GSW,NBA,12.2,82,82,3315,777,1449,737,1316,40,133,513,580,141,302,443,329,173,63,245,176,2107,0.536,0.56,0.301,0.55,0.884,0.618
186,Chris Paul,2013-14,28,LAC,NBA,12.2,62,62,2171,406,870,328,658,78,212,295,345,38,230,268,663,154,4,145,157,1185,0.467,0.498,0.368,0.511,0.855,0.58
187,Dominique Wilkins,1986-87,27,ATL,NBA,12.2,79,79,2969,828,1787,797,1681,31,106,607,742,210,284,494,261,117,51,215,149,2294,0.463,0.474,0.292,0.472,0.818,0.543
188,Sam Cassell,2003-04,34,MIN,NBA,12.1,81,81,2838,620,1270,546,1084,74,186,289,331,44,227,271,592,102,18,220,247,1603,0.488,0.504,0.398,0.517,0.873,0.566
189,Magic Johnson,1985-86,26,LAL,NBA,12.1,72,70,2578,483,918,473,875,10,43,378,434,85,341,426,907,113,16,273,133,1354,0.526,0.541,0.233,0.532,0.871,0.61
190,David Robinson,2000-01,35,SAS,NBA,12.1,80,80,2371,400,823,400,822,0,1,351,470,208,483,691,116,80,197,122,212,1151,0.486,0.487,0,0.486,0.747,0.559
191,Charles Barkley,1986-87,23,PHI,NBA,12,68,62,2740,557,937,536,833,21,104,429,564,390,604,994,331,119,104,322,252,1564,0.594,0.643,0.202,0.606,0.761,0.66
192,Kevin Durant,2016-17,28,GSW,NBA,12,62,62,2070,551,1026,434,714,117,312,336,384,39,474,513,300,66,99,138,117,1555,0.537,0.608,0.375,0.594,0.875,0.651
193,Kevin Durant,2010-11,22,OKC,NBA,12,78,78,3038,711,1538,566,1124,145,414,594,675,57,476,533,214,88,76,218,159,2161,0.462,0.504,0.35,0.509,0.88,0.589
194,Tracy McGrady,2004-05,25,HOU,NBA,12,78,78,3182,715,1660,573,1225,142,435,431,557,71,413,484,448,135,52,201,167,2003,0.431,0.468,0.326,0.473,0.774,0.526
195,Reggie Miller,1997-98,32,IND,NBA,12,81,81,2795,516,1081,352,699,164,382,382,440,46,186,232,171,78,11,128,148,1578,0.477,0.504,0.429,0.553,0.868,0.619
196,Moses Malone,1984-85,29,PHI,NBA,11.9,79,79,2957,602,1284,602,1282,0,2,737,904,385,646,1031,130,67,123,286,216,1941,0.469,0.47,0,0.469,0.815,0.577
197,Vince Carter,1999-00,23,TOR,NBA,11.8,82,82,3126,788,1696,693,1460,95,236,436,551,150,326,476,322,110,92,178,263,2107,0.465,0.475,0.403,0.493,0.791,0.543
198,Kevin Garnett,2000-01,24,MIN,NBA,11.8,81,81,3202,704,1475,685,1409,19,66,357,467,219,702,921,401,111,145,230,204,1784,0.477,0.486,0.288,0.484,0.764,0.531
199,Allen Iverson,2000-01,25,PHI,NBA,11.8,71,71,2979,762,1813,664,1507,98,306,585,719,50,223,273,325,178,20,237,147,2207,0.42,0.441,0.32,0.447,0.814,0.518
200,DeAndre Jordan,2016-17,28,LAC,NBA,11.8,81,81,2570,412,577,412,575,0,2,205,425,298,816,1114,96,51,134,115,212,1029,0.714,0.717,0,0.714,0.482,0.673
201,Scottie Pippen,1994-95,29,CHI,NBA,11.8,79,79,3014,634,1320,525,1004,109,316,315,440,175,464,639,409,232,89,271,238,1692,0.48,0.523,0.345,0.522,0.716,0.559
202,Brad Daugherty,1991-92,26,CLE,NBA,11.7,73,73,2643,576,1010,576,1008,0,2,414,533,191,569,760,262,65,78,185,190,1566,0.57,0.571,0,0.57,0.777,0.629
203,Clyde Drexler,1994-95,32,TOT,NBA,11.7,76,75,2728,571,1238,424,830,147,408,364,442,152,328,480,362,136,45,186,206,1653,0.461,0.511,0.36,0.521,0.824,0.577
204,Tim Hardaway,1997-98,31,MIA,NBA,11.7,81,81,3031,558,1296,403,854,155,442,257,329,48,251,299,672,136,16,224,200,1528,0.431,0.472,0.351,0.49,0.781,0.53
205,Grant Hill,1995-96,23,DET,NBA,11.7,80,80,3260,564,1221,559,1195,5,26,485,646,127,656,783,548,100,48,263,242,1618,0.462,0.468,0.192,0.464,0.751,0.537
206,Shawn Kemp,1993-94,24,SEA,NBA,11.7,79,73,2597,533,990,532,986,1,4,364,491,312,539,851,207,142,166,259,312,1431,0.538,0.54,0.25,0.539,0.741,0.593
207,Sidney Moncrief,1985-86,28,MIL,NBA,11.7,73,72,2567,470,962,437,859,33,103,498,580,115,219,334,357,103,18,174,178,1471,0.489,0.509,0.32,0.506,0.859,0.604
208,Gary Payton,1994-95,26,SEA,NBA,11.7,82,82,3015,685,1345,615,1113,70,232,249,348,108,173,281,583,204,13,201,206,1689,0.509,0.553,0.302,0.535,0.716,0.564
209,Clyde Drexler,1989-90,27,POR,NBA,11.6,73,73,2683,670,1357,640,1251,30,106,333,430,208,299,507,432,145,51,191,222,1703,0.494,0.512,0.283,0.505,0.774,0.551
210,Kevin Garnett,1999-00,23,MIN,NBA,11.6,81,81,3243,759,1526,729,1445,30,81,309,404,223,733,956,401,120,126,268,205,1857,0.497,0.504,0.37,0.507,0.765,0.545
211,Kevin Johnson,1989-90,23,PHO,NBA,11.6,74,74,2782,578,1159,570,1118,8,41,501,598,42,228,270,846,95,14,263,143,1665,0.499,0.51,0.195,0.502,0.838,0.585
212,Kyle Lowry,2015-16,29,TOR,NBA,11.6,77,77,2851,512,1198,300,651,212,547,398,491,55,310,365,494,158,34,225,211,1634,0.427,0.461,0.388,0.516,0.811,0.578
213,Steve Nash,2002-03,28,DAL,NBA,11.6,82,82,2711,518,1114,407,845,111,269,308,339,63,171,234,598,85,6,192,134,1455,0.465,0.482,0.413,0.515,0.909,0.576
214,Ben Wallace,2001-02,27,DET,NBA,11.6,80,80,2921,255,480,255,477,0,3,99,234,318,721,1039,115,138,278,70,178,609,0.531,0.535,0,0.531,0.423,0.522
215,Russell Westbrook,2012-13,24,OKC,NBA,11.6,82,82,2861,673,1535,576,1235,97,300,460,575,111,317,428,607,145,24,273,189,1903,0.438,0.466,0.323,0.47,0.8,0.532
216,Gilbert Arenas,2004-05,23,WAS,NBA,11.5,80,80,3274,656,1523,451,961,205,562,521,640,83,295,378,411,139,23,242,245,2038,0.431,0.469,0.365,0.498,0.814,0.565
217,Marc Gasol,2012-13,28,MEM,NBA,11.5,80,80,2796,429,869,428,855,1,14,268,316,184,438,622,318,80,139,157,255,1127,0.494,0.501,0.071,0.494,0.848,0.559
218,DeAndre Jordan,2015-16,27,LAC,NBA,11.5,77,77,2598,357,508,357,507,0,1,266,619,267,792,1059,90,51,177,107,207,980,0.703,0.704,0,0.703,0.43,0.628
219,Tracy McGrady,2001-02,22,ORL,NBA,11.5,76,76,2912,715,1586,612,1303,103,283,415,555,150,447,597,400,119,73,189,139,1948,0.451,0.47,0.364,0.483,0.748,0.532
220,Dirk Nowitzki,2003-04,25,DAL,NBA,11.5,77,77,2915,605,1310,506,1020,99,290,371,423,90,580,670,207,92,104,135,216,1680,0.462,0.496,0.341,0.5,0.877,0.561
221,Gary Payton,1995-96,27,SEA,NBA,11.5,81,81,3162,618,1276,520,977,98,299,229,306,104,235,339,608,231,19,260,221,1563,0.484,0.532,0.328,0.523,0.748,0.554
222,Chauncey Billups,2006-07,30,DET,NBA,11.4,70,70,2533,348,815,239,499,109,316,386,437,23,214,237,502,84,17,140,161,1191,0.427,0.479,0.345,0.494,0.883,0.591
223,Anthony Mason,1996-97,30,CHH,NBA,11.4,73,73,3143,433,825,432,822,1,3,319,428,186,643,829,414,76,33,165,202,1186,0.525,0.526,0.333,0.525,0.745,0.585
224,Reggie Miller,1994-95,29,IND,NBA,11.4,81,81,2665,505,1092,310,622,195,470,383,427,30,180,210,242,98,16,151,157,1588,0.462,0.498,0.415,0.552,0.897,0.62
225,Yao Ming,2003-04,23,HOU,NBA,11.4,82,82,2692,535,1025,535,1023,0,2,361,446,197,538,735,122,22,156,204,273,1431,0.522,0.523,0,0.522,0.809,0.586
226,Dominique Wilkins,1990-91,31,ATL,NBA,11.4,81,81,3078,770,1640,685,1391,85,249,476,574,261,471,732,265,123,65,201,156,2101,0.47,0.492,0.341,0.495,0.829,0.555
227,Kobe Bryant,2000-01,22,LAL,NBA,11.3,68,68,2783,701,1510,640,1310,61,200,475,557,104,295,399,338,114,43,220,222,1938,0.464,0.489,0.305,0.484,0.853,0.552
228,Jason Kidd,2002-03,29,NJN,NBA,11.3,80,80,2989,515,1244,389,874,126,370,339,403,110,394,504,711,179,25,296,127,1495,0.414,0.445,0.341,0.465,0.841,0.526
229,Mark Price,1988-89,24,CLE,NBA,11.3,75,74,2728,529,1006,436,795,93,211,263,292,48,178,226,631,115,7,212,98,1414,0.526,0.548,0.441,0.572,0.901,0.623
230,Deron Williams,2007-08,23,UTA,NBA,11.3,82,82,3059,566,1117,483,907,83,210,330,411,34,209,243,862,90,23,279,200,1545,0.507,0.533,0.395,0.544,0.803,0.595
231,Kareem Abdul-Jabbar,1984-85,37,LAL,NBA,11.2,79,79,2630,723,1207,723,1206,0,1,289,395,162,460,622,249,63,162,197,238,1735,0.599,0.6,0,0.599,0.732,0.628
232,Tom Chambers,1989-90,30,PHO,NBA,11.2,81,81,3046,810,1617,786,1531,24,86,557,647,121,450,571,190,88,47,218,260,2201,0.501,0.513,0.279,0.508,0.861,0.579
233,Tim Duncan,2004-05,28,SAS,NBA,11.2,66,66,2203,517,1042,514,1033,3,9,305,455,202,530,732,179,45,174,127,144,1342,0.496,0.498,0.333,0.498,0.67,0.54
234,Shawn Kemp,1995-96,26,SEA,NBA,11.2,79,76,2631,526,937,521,925,5,12,493,664,276,628,904,173,93,127,315,299,1550,0.561,0.563,0.417,0.564,0.742,0.631
235,Sidney Moncrief,1984-85,27,MIL,NBA,11.2,73,72,2734,561,1162,552,1129,9,33,454,548,149,242,391,382,117,39,184,197,1585,0.483,0.489,0.273,0.487,0.828,0.565
236,Joakim Noah,2013-14,28,CHI,NBA,11.2,80,80,2820,380,800,380,798,0,2,247,335,282,618,900,431,99,121,194,245,1007,0.475,0.476,0,0.475,0.737,0.531
237,Hakeem Olajuwon,1989-90,27,HOU,NBA,11.2,82,82,3124,806,1609,805,1603,1,6,382,536,299,850,1149,234,174,376,316,314,1995,0.501,0.502,0.167,0.501,0.713,0.541
238,Scottie Pippen,1993-94,28,CHI,NBA,11.2,72,72,2759,627,1278,564,1081,63,197,270,409,173,456,629,403,211,58,232,227,1587,0.491,0.522,0.32,0.515,0.66,0.544
239,Amar'e Stoudemire,2006-07,24,PHO,NBA,11.2,82,78,2689,607,1055,607,1052,0,3,457,585,222,564,786,84,78,110,232,295,1671,0.575,0.577,0,0.575,0.781,0.637
240,Isiah Thomas,1984-85,23,DET,NBA,11.2,81,81,3089,646,1410,617,1297,29,113,399,493,114,247,361,1123,187,25,302,288,1720,0.458,0.476,0.257,0.468,0.809,0.529
241,LaMarcus Aldridge,2010-11,25,POR,NBA,11.1,81,81,3211,707,1415,703,1392,4,23,351,444,278,431,709,170,82,94,153,220,1769,0.5,0.505,0.174,0.501,0.791,0.549
242,Tim Duncan,2007-08,31,SAS,NBA,11.1,78,78,2651,585,1178,585,1174,0,4,338,463,237,644,881,218,56,152,178,185,1508,0.497,0.498,0,0.497,0.73,0.546
243,Manu Ginobili,2007-08,30,SAS,NBA,11.1,74,23,2299,453,984,297,595,156,389,380,442,63,291,354,332,109,33,200,173,1442,0.46,0.499,0.401,0.54,0.86,0.612
244,Draymond Green,2015-16,25,GSW,NBA,11.1,81,81,2808,401,819,301,561,100,258,229,329,134,635,769,598,119,113,259,240,1131,0.49,0.537,0.388,0.551,0.696,0.587
245,Dirk Nowitzki,2010-11,32,DAL,NBA,11.1,73,73,2504,610,1179,544,1011,66,168,395,443,50,463,513,190,38,47,137,172,1681,0.517,0.538,0.393,0.545,0.892,0.612
246,Anthony Davis,2016-17,23,NOP,NBA,11,75,75,2708,770,1526,730,1392,40,134,519,647,172,712,884,157,94,167,181,168,2099,0.505,0.524,0.299,0.518,0.802,0.58
247,Pau Gasol,2009-10,29,LAL,NBA,11,65,65,2403,452,844,452,839,0,5,286,362,243,491,734,218,37,113,143,152,1190,0.536,0.539,0,0.536,0.79,0.593
248,Shaquille O'Neal,2004-05,32,MIA,NBA,11,73,73,2492,658,1095,658,1095,0,0,353,765,253,507,760,200,36,171,203,262,1669,0.601,0.601,,0.601,0.461,0.583
249,Dwyane Wade,2004-05,23,MIA,NBA,11,77,77,2974,630,1318,617,1273,13,45,581,762,110,287,397,520,121,82,321,230,1854,0.478,0.485,0.289,0.483,0.762,0.561
250,Chris Webber,2000-01,27,SAC,NBA,11,70,70,2836,786,1635,784,1607,2,28,324,461,179,598,777,294,93,118,195,226,1898,0.481,0.488,0.071,0.481,0.703,0.516
251,Kobe Bryant,2012-13,34,LAL,NBA,10.9,78,78,3013,738,1595,606,1188,132,407,525,626,66,367,433,469,106,25,287,173,2133,0.463,0.51,0.324,0.504,0.839,0.57
252,Tim Duncan,2009-10,33,SAS,NBA,10.9,78,77,2438,561,1082,559,1071,2,11,271,374,221,567,788,246,45,117,140,152,1395,0.518,0.522,0.182,0.519,0.725,0.56
253,Patrick Ewing,1988-89,26,NYK,NBA,10.9,80,80,2896,727,1282,727,1276,0,6,361,484,213,527,740,188,117,281,266,311,1815,0.567,0.57,0,0.567,0.746,0.607
254,Magic Johnson,1987-88,28,LAL,NBA,10.9,72,70,2637,490,996,479,940,11,56,417,489,88,361,449,858,114,13,269,147,1408,0.492,0.51,0.196,0.497,0.853,0.581
255,Steve Nash,2004-05,30,PHO,NBA,10.9,75,75,2573,430,857,336,639,94,218,211,238,57,192,249,861,74,6,245,136,1165,0.502,0.526,0.431,0.557,0.887,0.606
256,Dirk Nowitzki,2008-09,30,DAL,NBA,10.9,81,81,3050,774,1616,713,1446,61,170,485,545,88,593,681,197,61,63,157,176,2094,0.479,0.493,0.359,0.498,0.89,0.564
257,Hakeem Olajuwon,1986-87,24,HOU,NBA,10.9,75,75,2760,677,1332,676,1327,1,5,400,570,315,543,858,220,140,254,228,294,1755,0.508,0.509,0.2,0.509,0.702,0.554
258,Kareem Abdul-Jabbar,1985-86,38,LAL,NBA,10.8,79,79,2629,755,1338,755,1336,0,2,336,439,133,345,478,280,67,130,203,248,1846,0.564,0.565,0,0.564,0.765,0.603
259,Gilbert Arenas,2006-07,25,WAS,NBA,10.8,74,73,2942,647,1548,442,964,205,584,606,718,61,277,338,443,139,13,236,249,2105,0.418,0.459,0.351,0.484,0.844,0.565
260,Charles Barkley,1985-86,22,PHI,NBA,10.8,80,80,2952,595,1041,578,966,17,75,396,578,354,672,1026,312,173,125,350,333,1603,0.572,0.598,0.227,0.58,0.685,0.619
261,Tim Duncan,2005-06,29,SAS,NBA,10.8,80,80,2784,574,1185,572,1180,2,5,335,533,231,650,881,253,70,162,198,219,1485,0.484,0.485,0.4,0.485,0.629,0.523
262,Dale Ellis,1988-89,28,SEA,NBA,10.8,82,82,3190,857,1710,695,1371,162,339,377,462,156,186,342,164,108,22,218,197,2253,0.501,0.507,0.478,0.549,0.816,0.589
263,Paul George,2013-14,23,IND,NBA,10.8,80,80,2898,577,1362,395,862,182,500,401,464,64,478,542,283,151,22,224,198,1737,0.424,0.458,0.364,0.49,0.864,0.555
264,Chris Mullin,1991-92,28,GSW,NBA,10.8,81,81,3346,830,1584,766,1409,64,175,350,420,127,323,450,286,173,62,202,171,2074,0.524,0.544,0.366,0.544,0.833,0.586
265,Dikembe Mutombo,1997-98,31,ATL,NBA,10.8,82,82,2917,399,743,399,743,0,0,303,452,276,656,932,82,34,277,168,254,1101,0.537,0.537,,0.537,0.67,0.584
266,Gary Payton,2000-01,32,SEA,NBA,10.8,79,79,3244,725,1591,623,1319,102,272,271,354,73,288,361,642,127,26,209,184,1823,0.456,0.472,0.375,0.488,0.766,0.522
267,Glen Rice,1996-97,29,CHH,NBA,10.8,79,78,3362,722,1513,515,1073,207,440,464,535,67,251,318,160,72,26,177,190,2115,0.477,0.48,0.47,0.546,0.867,0.605
268,Mitch Richmond,1996-97,31,SAC,NBA,10.8,81,81,3125,717,1578,513,1101,204,477,457,531,59,260,319,338,118,24,237,211,2095,0.454,0.466,0.428,0.519,0.861,0.578
269,Dominique Wilkins,1985-86,26,ATL,NBA,10.8,78,78,3049,888,1897,875,1827,13,70,577,705,261,357,618,206,138,49,251,170,2366,0.468,0.479,0.186,0.472,0.818,0.536
270,Ray Allen,2004-05,29,SEA,NBA,10.7,78,78,3064,640,1494,431,938,209,556,378,428,79,268,347,289,84,5,171,167,1867,0.428,0.459,0.376,0.498,0.883,0.555
271,Kobe Bryant,2003-04,25,LAL,NBA,10.7,65,64,2447,516,1178,445,961,71,217,454,533,103,256,359,330,112,28,171,176,1557,0.438,0.463,0.327,0.468,0.852,0.551
272,Terry Cummings,1984-85,23,MIL,NBA,10.7,79,78,2722,759,1532,759,1531,0,1,343,463,244,472,716,228,117,67,190,264,1861,0.495,0.496,0,0.495,0.741,0.536
273,Kevin Garnett,2006-07,30,MIN,NBA,10.7,76,76,2995,638,1341,626,1285,12,56,416,498,183,792,975,313,89,126,205,184,1704,0.476,0.487,0.214,0.48,0.835,0.546
274,Anfernee Hardaway,1994-95,23,ORL,NBA,10.7,77,77,2901,585,1142,498,893,87,249,356,463,139,197,336,551,130,26,258,158,1613,0.512,0.558,0.349,0.55,0.769,0.599
275,Grant Hill,1999-00,27,DET,NBA,10.7,74,74,2776,696,1422,662,1324,34,98,480,604,97,393,490,385,103,43,240,190,1906,0.489,0.5,0.347,0.501,0.795,0.565
276,Hakeem Olajuwon,1987-88,25,HOU,NBA,10.7,79,79,2825,712,1385,712,1381,0,4,381,548,302,657,959,163,162,214,243,324,1805,0.514,0.516,0,0.514,0.695,0.555
277,Hakeem Olajuwon,1994-95,32,HOU,NBA,10.7,72,72,2853,798,1545,795,1529,3,16,406,537,172,603,775,255,133,242,237,250,2005,0.517,0.52,0.188,0.517,0.756,0.563
278,Amar'e Stoudemire,2009-10,27,PHO,NBA,10.7,82,82,2838,704,1264,703,1258,1,6,487,632,230,502,732,82,52,83,213,281,1896,0.557,0.559,0.167,0.557,0.771,0.615
279,Chris Webber,1999-00,26,SAC,NBA,10.7,75,75,2880,748,1548,721,1453,27,95,311,414,189,598,787,345,120,128,218,264,1834,0.483,0.496,0.284,0.492,0.751,0.53
280,Charles Barkley,1994-95,31,PHO,NBA,10.6,68,66,2382,554,1141,480,922,74,219,379,507,203,553,756,276,110,45,150,201,1561,0.486,0.521,0.338,0.518,0.748,0.572
281,Kobe Bryant,1999-00,21,LAL,NBA,10.6,66,62,2524,554,1183,508,1039,46,144,331,403,108,308,416,323,106,62,182,220,1485,0.468,0.489,0.319,0.488,0.821,0.546
282,Patrick Ewing,1992-93,30,NYK,NBA,10.6,81,81,3003,779,1550,778,1543,1,7,400,556,191,789,980,151,74,161,265,286,1959,0.503,0.504,0.143,0.503,0.719,0.546
283,Blake Griffin,2012-13,23,LAC,NBA,10.6,80,80,2598,577,1072,572,1044,5,28,281,426,186,476,662,299,97,50,185,231,1440,0.538,0.548,0.179,0.541,0.66,0.572
284,Allen Iverson,2005-06,30,PHI,NBA,10.6,72,72,3103,815,1822,743,1599,72,223,675,829,44,188,232,532,140,10,248,121,2377,0.447,0.465,0.323,0.467,0.814,0.543
285,Shawn Kemp,1994-95,25,SEA,NBA,10.6,82,79,2679,545,997,543,990,2,7,438,585,318,575,893,149,102,122,259,337,1530,0.547,0.548,0.286,0.548,0.749,0.61
286,Yao Ming,2008-09,28,HOU,NBA,10.6,77,77,2589,566,1032,565,1031,1,1,381,440,204,557,761,137,30,150,234,257,1514,0.548,0.548,1,0.549,0.866,0.618
287,Chris Mullin,1988-89,25,GSW,NBA,10.6,82,82,3093,830,1630,807,1530,23,100,493,553,152,331,483,415,176,39,296,178,2176,0.509,0.527,0.23,0.516,0.892,0.581
